"Order","Price","LotFrontage","LotArea","LotConfig","HouseStyle","Quality","Condition","YearBuilt","YearRemodel","ExteriorQ","ExteriorC","Foundation","BasementHt","BasementC","BasementFin","BasementFinSF","BasementUnFinSF","BasementSF","Heating","HeatingQC","CentralAir","FirstSF","SecondSF","GroundSF","BasementFBath","BasementHBath","FullBath","HalfBath","Bedroom","KitchenQ","TotalRooms","Fireplaces","GarageType","GarageCars","GarageSF","GarageQ","GarageC","WoodDeckSF","OpenPorchSF","EnclosedPorchSF","ScreenPorchSF"
2596,99.8,60,10410,"Inside","1Story",3,8,1930,2001,"TA","Gd","PConc","TA","TA","Unf",0,713,713,"GasA","Ex","Y",713,0,713,0,0,1,0,2,"Gd",5,0,"Detchd",1,371,"Fa","Fa",0,75,161,0
1321,325,75,13500,"Inside","2.5Unf",10,9,1893,2000,"Ex","Ex","BrkTil","TA","TA","Unf",0,1237,1237,"GasA","Gd","Y",1521,1254,2775,0,0,3,1,3,"Gd",9,1,"Detchd",2,880,"Gd","TA",105,502,0,0
1227,165.5,80,9600,"Inside","SLvl",6,6,1955,1996,"TA","TA","CBlock","TA","TA","BLQ",831,161,992,"GasA","Gd","Y",1661,0,1661,1,0,1,0,3,"Gd",8,1,"BuiltIn",1,377,"TA","TA",0,28,0,178
2521,190,40,3874,"Inside","1Story",8,5,1980,1980,"Gd","TA","CBlock","Gd","TA","GLQ",807,419,1226,"GasA","TA","Y",1226,0,1226,1,0,1,0,1,"Gd",4,1,"Attchd",2,484,"TA","TA",133,78,0,0
2623,109.9,60,7200,"Inside","1Story",4,5,1950,1950,"TA","TA","Slab","None","None","None",0,0,0,"GasA","TA","Y",1040,0,1040,0,0,1,0,2,"TA",4,0,"Detchd",2,420,"TA","TA",0,29,0,0
398,76.5,60,7038,"Inside","1Story",4,6,1970,1970,"TA","TA","CBlock","TA","TA","ALQ",726,138,864,"GasA","TA","Y",864,0,864,1,0,1,0,3,"TA",5,0,"Detchd",2,576,"TA","TA",210,0,0,0
2189,108.5,62,10042,"Corner","1.5Fin",6,8,1920,1995,"TA","TA","BrkTil","TA","TA","LwQ",144,238,660,"GasA","TA","Y",740,125,865,1,0,1,0,2,"TA",4,1,"Detchd",1,216,"TA","TA",0,0,84,0
1955,128.5,66,8300,"Inside","1Story",6,6,1968,1968,"TA","TA","CBlock","TA","TA","Rec",952,0,952,"GasA","Gd","Y",952,0,952,1,0,1,0,3,"TA",5,0,"Attchd",1,288,"TA","TA",0,0,0,0
1076,234.25,48,6240,"Inside","1Story",8,5,2006,2007,"Gd","TA","PConc","Gd","TA","GLQ",846,496,1342,"GasA","Ex","Y",1342,0,1342,1,0,2,0,2,"Gd",6,1,"Attchd",2,550,"TA","TA",0,35,0,0
2537,140,70,8400,"Inside","SFoyer",5,6,1968,1968,"TA","TA","CBlock","Gd","TA","GLQ",744,89,833,"GasA","Gd","Y",898,0,898,1,0,1,0,3,"TA",6,0,"Attchd",1,326,"TA","TA",143,0,0,0
2641,178,60,9600,"Inside","2Story",7,7,1925,1990,"TA","TA","BrkTil","TA","Gd","LwQ",16,712,728,"GasA","Ex","Y",832,809,1641,0,1,1,1,3,"Ex",6,1,"Detchd",2,546,"Fa","TA",0,0,234,0
2608,159.95,85,13400,"Inside","SLvl",5,5,1966,1966,"TA","TA","CBlock","TA","TA","ALQ",516,380,1024,"GasA","TA","Y",1086,0,1086,1,0,1,0,3,"TA",6,1,"Attchd",2,484,"TA","TA",0,0,0,0
2266,187.5,44,13758,"CulDSac","1.5Fin",7,5,1990,1991,"Gd","Gd","CBlock","Gd","TA","LwQ",902,254,1156,"GasA","Ex","Y",1187,530,1717,0,0,2,1,3,"Gd",7,1,"Attchd",2,400,"TA","TA",168,36,0,0
1480,193,74,9627,"Inside","1Story",7,5,2007,2007,"Gd","TA","PConc","Gd","TA","GLQ",24,1327,1351,"GasA","Ex","Y",1361,0,1361,0,0,2,0,3,"Gd",6,0,"Attchd",2,610,"TA","TA",0,50,0,0
2085,130,39,3869,"Inside","1Story",5,6,1984,1984,"Gd","Ex","CBlock","TA","TA","LwQ",283,0,1038,"GasA","Gd","Y",1038,0,1038,0,0,2,0,2,"TA",5,0,"Attchd",1,264,"TA","TA",0,105,0,0
10,189,60,7500,"Inside","2Story",7,5,1999,1999,"TA","TA","PConc","TA","TA","Unf",0,994,994,"GasA","Gd","Y",1028,776,1804,0,0,2,1,3,"Gd",7,1,"Attchd",2,442,"TA","TA",140,60,0,0
1254,146,76,12436,"Inside","1Story",5,5,1957,1957,"TA","TA","CBlock","TA","TA","Unf",0,1824,1824,"GasA","Fa","Y",1824,0,1824,0,0,2,0,5,"TA",9,0,"Detchd",2,484,"TA","TA",0,0,0,0
2126,147.9,70,16561,"Inside","1Story",5,5,1996,1996,"TA","TA","PConc","Gd","TA","ALQ",549,548,1097,"GasA","Ex","Y",1097,0,1097,1,0,1,1,3,"TA",6,0,"Attchd",1,242,"TA","TA",306,0,0,0
2001,153.5,90,8100,"Inside","1Story",5,6,1948,1973,"TA","TA","BrkTil","TA","TA","Rec",338,1221,1559,"GasA","Gd","Y",1559,0,1559,1,0,1,0,2,"TA",5,0,"Detchd",2,812,"TA","TA",0,116,230,0
1133,188,68,10110,"Inside","2Story",6,5,2003,2003,"Gd","TA","PConc","Gd","TA","GLQ",80,200,835,"GasA","Ex","Y",835,861,1696,1,0,2,1,3,"Gd",7,0,"Attchd",2,542,"TA","TA",143,66,0,0
2689,117,59,5310,"Corner","1.5Fin",6,8,1910,2003,"TA","Gd","CBlock","TA","Fa","Unf",0,485,485,"GasA","Gd","Y",1001,634,1635,0,0,1,0,2,"Gd",5,0,"Attchd",1,255,"Fa","TA",394,0,0,0
437,409.9,59,23303,"CulDSac","2Story",8,5,2007,2007,"Gd","TA","PConc","Ex","TA","GLQ",1230,278,1508,"GasA","Ex","Y",1508,1012,2520,1,0,2,1,5,"Ex",10,1,"BuiltIn",3,640,"TA","TA",192,273,0,0
52,199.5,100,18494,"Corner","1Story",6,5,2005,2005,"Gd","TA","PConc","Gd","TA","Unf",0,1324,1324,"GasA","Ex","Y",1324,0,1324,0,0,2,0,3,"Gd",6,0,"Attchd",2,430,"TA","TA",36,23,0,0
408,119.5,21,1680,"Inside","2Story",5,7,1972,1972,"TA","TA","CBlock","TA","TA","ALQ",231,399,630,"GasA","TA","Y",630,672,1302,0,0,2,1,3,"TA",6,0,"Detchd",1,264,"TA","TA",185,0,0,0
808,118.964,64,7018,"Inside","1Story",5,5,1979,1979,"TA","Fa","Slab","None","None","None",0,0,0,"GasA","TA","Y",1535,0,1535,0,0,2,0,4,"TA",8,0,"Attchd",2,410,"TA","TA",0,0,0,0
1228,112.9,63,7584,"Inside","1Story",5,5,1953,1953,"TA","TA","CBlock","TA","TA","LwQ",531,505,1036,"GasA","Ex","Y",1036,0,1036,0,0,1,0,3,"TA",5,0,"Attchd",1,312,"TA","TA",120,24,0,0
2222,219.5,75,13125,"Inside","2Story",7,6,1940,1984,"TA","TA","CBlock","TA","TA","BLQ",410,390,800,"GasA","TA","Y",960,780,1740,0,0,1,1,3,"TA",6,2,"Attchd",1,240,"TA","TA",0,0,0,0
2878,139,75,9060,"Inside","1.5Fin",6,5,1957,1957,"TA","TA","CBlock","TA","TA","Unf",0,967,967,"GasA","Gd","Y",967,671,1638,0,0,2,0,4,"Gd",6,0,"Detchd",1,384,"TA","TA",0,21,0,0
1807,146,63,7500,"Inside","1Story",6,5,2006,2007,"TA","TA","PConc","Gd","TA","Unf",0,1100,1100,"GasA","Ex","Y",1100,0,1100,0,0,1,1,3,"TA",6,0,"None",0,0,"None","None",0,136,0,0
1484,149,0,4438,"Inside","1Story",6,5,2004,2004,"Gd","TA","PConc","Gd","TA","GLQ",662,186,848,"GasA","Ex","Y",848,0,848,1,0,1,0,1,"Gd",3,1,"Attchd",2,420,"TA","TA",149,0,0,0
1189,145,80,11040,"Inside","1Story",6,7,1971,2004,"Gd","Gd","CBlock","TA","TA","ALQ",656,602,1258,"GasA","Ex","Y",1258,0,1258,0,1,2,0,3,"Gd",5,0,"Attchd",2,528,"TA","TA",55,0,0,0
1338,157,50,6000,"Inside","1.5Fin",6,7,1937,2000,"TA","Gd","BrkTil","TA","TA","Rec",201,462,825,"GasA","Ex","Y",825,672,1497,0,0,2,0,3,"TA",5,0,"Detchd",1,672,"TA","TA",272,0,0,0
212,100,60,9900,"Inside","1.5Fin",5,4,1915,1950,"Fa","Fa","BrkTil","TA","TA","Rec",1026,186,1212,"GasA","TA","N",1212,180,1392,1,0,1,0,3,"TA",6,0,"None",0,0,"None","None",0,0,168,0
1108,287.5,91,10010,"Inside","2Story",7,5,1993,1994,"Gd","TA","PConc","Gd","TA","BLQ",228,0,1080,"GasA","Ex","Y",1108,1089,2197,1,0,2,1,4,"Gd",9,1,"Attchd",3,783,"TA","TA",385,99,0,0
686,133.5,60,10800,"Inside","1.5Fin",4,7,1949,1996,"TA","TA","CBlock","TA","TA","Unf",0,832,832,"GasA","TA","Y",832,629,1461,0,0,2,0,4,"TA",6,0,"Detchd",1,384,"TA","TA",0,204,0,0
1435,226.001,0,8696,"Inside","1Story",7,5,1997,1998,"TA","TA","PConc","Gd","TA","GLQ",1308,110,1418,"GasA","Ex","Y",1418,0,1418,1,0,2,0,3,"Gd",5,1,"Attchd",2,558,"TA","TA",208,110,0,0
664,105,90,5400,"Corner","1.5Fin",4,6,1920,1950,"Fa","TA","PConc","TA","TA","ALQ",315,420,840,"GasA","Ex","Y",840,534,1374,0,0,1,0,2,"TA",6,0,"Detchd",1,338,"TA","TA",0,0,198,0
2682,110,51,6120,"Inside","1.5Fin",5,7,1930,1984,"TA","Gd","BrkTil","TA","TA","Unf",0,741,741,"GasA","Gd","Y",741,583,1324,0,0,1,0,3,"Gd",7,0,"Detchd",1,180,"Fa","TA",0,0,55,0
2331,545.224,60,18062,"CulDSac","2Story",10,5,2006,2006,"Ex","TA","PConc","Ex","TA","Unf",0,1528,1528,"GasA","Ex","Y",1528,1862,3390,0,0,3,1,5,"Ex",10,1,"BuiltIn",3,758,"TA","TA",204,34,0,0
2094,238,103,13125,"Corner","2Story",7,5,1991,1991,"Gd","TA","PConc","Ex","TA","BLQ",48,422,1104,"GasA","Ex","Y",912,1215,2127,1,0,2,1,4,"Gd",8,1,"Attchd",3,833,"TA","TA",72,192,224,0
2122,177.5,105,11249,"Inside","1Story",6,5,1995,1995,"Gd","Gd","PConc","Gd","Gd","ALQ",334,322,1200,"GasA","Ex","Y",1200,0,1200,1,0,2,0,3,"Gd",6,0,"Attchd",2,521,"TA","TA",0,26,0,0
547,171.5,70,7703,"Inside","2Story",6,6,1992,1992,"Gd","Gd","PConc","Gd","Gd","GLQ",52,400,816,"GasA","Ex","Y",833,897,1730,0,0,2,1,3,"Gd",6,0,"Attchd",2,528,"TA","TA",0,91,0,168
1140,182,65,8453,"Inside","2Story",6,5,1995,1995,"Gd","TA","PConc","Gd","TA","GLQ",362,392,754,"GasA","Ex","Y",754,855,1609,0,0,2,1,3,"Gd",6,0,"Attchd",2,525,"TA","TA",0,70,0,0
2470,187.75,60,7200,"Inside","1Story",7,5,2006,2006,"Gd","TA","PConc","Gd","Gd","Unf",0,1293,1293,"GasA","Ex","Y",1301,0,1301,1,0,2,0,2,"Gd",5,1,"Attchd",2,572,"TA","TA",216,121,0,0
621,140,80,9600,"Inside","1.5Fin",6,8,1950,2005,"TA","Gd","CBlock","TA","TA","BLQ",120,736,856,"GasA","Ex","Y",1112,556,1668,0,0,1,1,3,"TA",6,0,"Attchd",1,271,"TA","TA",0,0,0,0
513,253,75,9675,"Inside","2Story",7,5,2005,2005,"Gd","TA","PConc","Gd","TA","GLQ",341,772,1113,"GasA","Ex","Y",1113,858,1971,0,0,2,1,3,"Gd",8,1,"Attchd",2,689,"TA","TA",0,48,0,0
